rank,tx_id,true_label,gcn_probability,missed_by
85,209952974,1.0,0.617967,0.015133
86,175410705,1.0,0.617726,0.015374
87,268793353,1.0,0.617718,0.015382
88,97021579,1.0,0.617711,0.015389
89,355090366,1.0,0.617029,0.016071
90,234559583,1.0,0.616804,0.016296
91,234574642,1.0,0.616423,0.016677
92,71989395,1.0,0.616233,0.016867
93,96569544,1.0,0.615678,0.017422
94,331568374,1.0,0.615507,0.017593
95,11568841,1.0,0.615487,0.017613
96,84364238,1.0,0.615446,0.017654
97,116217174,1.0,0.61529,0.01781
98,372730932,1.0,0.615203,0.017897
99,97069017,1.0,0.615198,0.017902
100,179039073,1.0,0.615181,0.017919
101,216384899,1.0,0.615146,0.017954
102,355092403,1.0,0.615044,0.018056
103,378100723,1.0,0.61497,0.01813
104,72637933,1.0,0.614959,0.018141
105,210636309,1.0,0.614152,0.018948
106,232345692,1.0,0.613644,0.019456
107,229453047,1.0,0.613097,0.020003
108,96581589,1.0,0.613032,0.020068
109,34570609,1.0,0.612386,0.020714
110,238193262,1.0,0.612229,0.020871
111,272153910,1.0,0.61199,0.02111
112,15221556,1.0,0.611725,0.021375
113,87690267,1.0,0.611585,0.021515
114,2144054,1.0,0.611382,0.021718
115,375754977,1.0,0.611364,0.021736
116,248915736,1.0,0.610899,0.022201
117,96018652,1.0,0.610791,0.022309
118,71990001,1.0,0.610765,0.022335
119,234830765,1.0,0.610668,0.022432
120,218400097,1.0,0.610543,0.022557
121,210640144,1.0,0.610493,0.022607
122,69683783,1.0,0.610137,0.022963
123,288463486,1.0,0.610134,0.022966
124,279424082,1.0,0.610066,0.023034
125,274526543,1.0,0.609939,0.023161
126,211090711,1.0,0.609437,0.023663
127,20194738,1.0,0.609434,0.023666
128,44995911,1.0,0.609103,0.023997
129,208930291,1.0,0.608971,0.024129
130,234830766,1.0,0.608921,0.024179
131,210638488,1.0,0.608897,0.024203
132,209803038,1.0,0.608678,0.024422
133,165863043,1.0,0.60849,0.02461
134,58506737,1.0,0.608333,0.024767
135,85002291,1.0,0.608203,0.024897
136,210639090,1.0,0.608033,0.025067
137,209682050,1.0,0.607697,0.025403
138,164771795,1.0,0.607522,0.025578
139,85264097,1.0,0.607436,0.025664
140,209539924,1.0,0.607374,0.025726
141,12673136,1.0,0.607309,0.025791
142,60102676,1.0,0.607082,0.026018
143,60114653,1.0,0.606967,0.026133
144,21701149,1.0,0.606687,0.026413
145,355100411,1.0,0.606556,0.026544
146,373153025,1.0,0.606068,0.027032
147,60868547,1.0,0.606061,0.027039
148,11579906,1.0,0.605902,0.027198
149,294535957,1.0,0.605353,0.027747
150,84734164,1.0,0.605291,0.027809
151,14948913,1.0,0.605263,0.027837
152,28900174,1.0,0.605062,0.028038
153,25877557,1.0,0.604907,0.028193
154,272271133,1.0,0.604867,0.028233
155,163886758,1.0,0.604719,0.028381
156,57017238,1.0,0.604475,0.028625
157,299334253,1.0,0.604186,0.028914
158,386122827,1.0,0.60405,0.02905
159,218151306,1.0,0.604008,0.029092
160,269459069,1.0,0.60377,0.02933
161,208931582,1.0,0.603428,0.029672
162,72628700,1.0,0.602806,0.030293
163,162428632,1.0,0.602764,0.030336
164,209521882,1.0,0.602538,0.030561
165,45002057,1.0,0.602304,0.030796
166,362863720,1.0,0.602221,0.030879
167,97976919,1.0,0.602186,0.030914
168,349263791,1.0,0.601971,0.031129
169,28997148,1.0,0.601933,0.031167
170,363773002,1.0,0.601863,0.031237
171,96301468,1.0,0.601849,0.031251
172,175046769,1.0,0.60173,0.03137
173,248481188,1.0,0.601723,0.031377
174,43327204,1.0,0.601374,0.031726
175,378592884,1.0,0.601181,0.031919
176,281347729,1.0,0.600997,0.032103
177,99254703,1.0,0.600809,0.032291
178,294492648,1.0,0.600773,0.032327
179,163918770,1.0,0.600751,0.032349
180,99923765,1.0,0.600683,0.032417
181,99258920,1.0,0.600263,0.032837
182,29035758,1.0,0.600181,0.032919
183,62195631,1.0,0.599939,0.033161
184,96975033,1.0,0.599727,0.033373
185,72631022,1.0,0.599698,0.033402
186,378593364,1.0,0.599518,0.033582
187,272153298,1.0,0.599438,0.033662
188,210508856,1.0,0.599251,0.033849
189,43007170,1.0,0.598937,0.034163
190,85002365,1.0,0.598706,0.034394
191,70261846,1.0,0.598163,0.034937
192,272271144,1.0,0.597912,0.035188
193,100045365,1.0,0.597498,0.035602
194,5167400,1.0,0.59728,0.03582
195,339094506,1.0,0.597146,0.035954
196,335305318,1.0,0.597035,0.036065
197,94626460,1.0,0.596811,0.036289
198,68954616,1.0,0.59674,0.03636
199,114626822,1.0,0.59673,0.03637
200,209826714,1.0,0.596696,0.036404
201,71774214,1.0,0.596676,0.036424
202,149136914,1.0,0.596631,0.036469
203,269502431,1.0,0.596512,0.036588
204,107083983,1.0,0.59628,0.03682
205,339058421,1.0,0.595826,0.037274
206,97150075,1.0,0.595774,0.037326
207,85626501,1.0,0.595731,0.037369
208,12778505,1.0,0.595706,0.037394
209,96927272,1.0,0.595612,0.037488
210,96925593,1.0,0.5956,0.0375
211,158374219,1.0,0.595568,0.037531
212,10933506,1.0,0.595507,0.037593
213,99258746,1.0,0.595292,0.037808
214,159041245,1.0,0.595205,0.037895
215,210638486,1.0,0.594844,0.038256
216,9580797,1.0,0.594662,0.038438
217,322441061,1.0,0.594555,0.038545
218,363665354,1.0,0.594149,0.038951
219,331563831,1.0,0.594129,0.038971
220,272488592,1.0,0.594066,0.039034
221,15483941,1.0,0.593784,0.039316
222,274526878,1.0,0.593695,0.039405
223,225817002,1.0,0.593503,0.039597
224,163811224,1.0,0.593467,0.039633
225,390584448,1.0,0.593194,0.039906
226,158367221,1.0,0.593056,0.040044
227,209571107,1.0,0.592883,0.040217
228,234635128,1.0,0.592862,0.040238
229,73002816,1.0,0.592682,0.040418
230,54824221,1.0,0.59251,0.04059
231,211088954,1.0,0.592368,0.040732
232,340072992,1.0,0.592038,0.041062
233,211083408,1.0,0.5919,0.0412
234,94626483,1.0,0.591831,0.041269
235,390420260,1.0,0.59172,0.04138
236,373108496,1.0,0.5912,0.041899
237,331500271,1.0,0.591193,0.041907
238,355101915,1.0,0.591186,0.041914
239,189798829,1.0,0.591158,0.041942
240,210944633,1.0,0.591065,0.042035
241,158375075,1.0,0.590924,0.042176
242,71988968,1.0,0.590379,0.042721
243,244662723,1.0,0.590258,0.042842
244,67673928,1.0,0.59016,0.04294
245,228443875,1.0,0.589895,0.043205
246,72015084,1.0,0.589741,0.043359
247,85002290,1.0,0.589456,0.043644
248,17387772,1.0,0.589321,0.043779
249,224256963,1.0,0.589308,0.043792
250,158367826,1.0,0.589184,0.043916
251,96959863,1.0,0.588933,0.044167
252,209946183,1.0,0.588877,0.044223
253,323888916,1.0,0.588196,0.044904
254,340684209,1.0,0.58798,0.04512
255,223909678,1.0,0.587814,0.045286
256,296712537,1.0,0.587735,0.045365
257,268791664,1.0,0.587728,0.045372
258,158371756,1.0,0.587449,0.045651
259,269118746,1.0,0.587068,0.046031
260,190006241,1.0,0.586709,0.046391
261,85002368,1.0,0.586488,0.046612
262,165849653,1.0,0.585676,0.047424
263,86710958,1.0,0.585595,0.047505
264,152058261,1.0,0.585445,0.047655
265,158360758,1.0,0.585442,0.047658
266,331501576,1.0,0.585218,0.047882
267,98309038,1.0,0.584606,0.048494
268,11561989,1.0,0.584538,0.048561
269,373109555,1.0,0.584439,0.048661
270,85258477,1.0,0.584428,0.048672
271,97141211,1.0,0.583708,0.049392
272,310524772,1.0,0.583623,0.049477
273,85002433,1.0,0.583333,0.049767
274,204276617,1.0,0.58324,0.04986
275,288125307,1.0,0.583203,0.049897
276,382988791,1.0,0.582723,0.050377
277,363117137,1.0,0.582707,0.050393
278,165849656,1.0,0.582681,0.050419
279,339096346,1.0,0.582454,0.050645
280,122371039,1.0,0.582385,0.050715
281,340072999,1.0,0.582379,0.050721
282,99636195,1.0,0.581924,0.051176
283,296712837,1.0,0.581369,0.051731
284,158375988,1.0,0.581108,0.051992
285,67576436,1.0,0.581052,0.052048
286,115924670,1.0,0.581019,0.052081
287,386102111,1.0,0.580529,0.052571
288,73224307,1.0,0.580197,0.052903
289,21599005,1.0,0.579927,0.053173
290,96295947,1.0,0.579834,0.053266
291,226364300,1.0,0.579299,0.053801
292,114507940,1.0,0.57929,0.05381
293,331568380,1.0,0.579154,0.053946
294,85008951,1.0,0.57869,0.05441
295,168129086,1.0,0.577888,0.055212
296,339262401,1.0,0.577832,0.055268
297,94340906,1.0,0.577472,0.055627
298,273536494,1.0,0.577233,0.055867
299,332685665,1.0,0.577187,0.055913
300,218400093,1.0,0.57705,0.05605
301,47994516,1.0,0.577032,0.056068
302,141128581,1.0,0.576448,0.056652
303,331613168,1.0,0.576195,0.056905
304,61711037,1.0,0.575721,0.057379
305,70788132,1.0,0.575689,0.057411
306,158375088,1.0,0.57476,0.05834
307,158376400,1.0,0.574671,0.058429
308,133212313,1.0,0.574427,0.058673
309,372726702,1.0,0.574373,0.058727
310,67658971,1.0,0.574089,0.059011
311,368745906,1.0,0.574042,0.059058
312,158362119,1.0,0.573824,0.059276
313,19497952,1.0,0.573611,0.059489
314,72642610,1.0,0.573606,0.059494
315,85002438,1.0,0.57344,0.05966
316,231990435,1.0,0.573352,0.059748
317,94151590,1.0,0.573198,0.059902
318,72301118,1.0,0.573081,0.060019
319,390408041,1.0,0.572945,0.060155
320,286654752,1.0,0.572809,0.060291
321,28877539,1.0,0.572721,0.060379
322,178193861,1.0,0.572525,0.060575
323,70406447,1.0,0.572493,0.060607
324,179099249,1.0,0.572298,0.060802
325,84340957,1.0,0.57187,0.06123
326,269905669,1.0,0.571782,0.061318
327,390582798,1.0,0.571766,0.061334
328,191502437,1.0,0.571672,0.061427
329,94654263,1.0,0.571657,0.061443
330,73154554,1.0,0.571356,0.061744
331,122932784,1.0,0.571293,0.061807
332,390498122,1.0,0.571045,0.062055
333,390571413,1.0,0.570432,0.062668
334,186359097,1.0,0.570175,0.062925
335,158361294,1.0,0.569904,0.063196
336,148612071,1.0,0.569779,0.063321
337,71451632,1.0,0.569304,0.063796
338,219565918,1.0,0.568296,0.064804
339,151187053,1.0,0.568182,0.064918
340,390577188,1.0,0.567757,0.065343
341,163811227,1.0,0.567754,0.065346
342,37498505,1.0,0.567713,0.065387
343,390574253,1.0,0.567598,0.065502
344,73154819,1.0,0.567304,0.065796
345,209945016,1.0,0.566965,0.066135
346,97068677,1.0,0.566838,0.066262
347,71748458,1.0,0.566676,0.066424
348,386049942,1.0,0.566535,0.066565
349,218423469,1.0,0.565518,0.067582
350,94336035,1.0,0.565516,0.067584
351,116064774,1.0,0.565451,0.067649
352,84364806,1.0,0.565407,0.067693
353,115723002,1.0,0.565305,0.067795
354,13252436,1.0,0.565196,0.067904
355,12780376,1.0,0.565142,0.067958
356,272088734,1.0,0.564718,0.068382
357,390578692,1.0,0.564586,0.068514
358,99675435,1.0,0.564578,0.068522
359,94337633,1.0,0.564497,0.068603
360,241537031,1.0,0.563949,0.069151
361,73406957,1.0,0.563589,0.069511
362,231044088,1.0,0.563496,0.069604
363,27085149,1.0,0.563224,0.069876
364,209890590,1.0,0.563022,0.070077
365,331566091,1.0,0.562893,0.070207
366,94940927,1.0,0.562881,0.070219
367,174938459,1.0,0.562642,0.070458
368,158373282,1.0,0.562366,0.070734
369,158378210,1.0,0.56192,0.07118
370,70023047,1.0,0.561894,0.071206
371,373075890,1.0,0.561889,0.071211
372,158373293,1.0,0.561748,0.071352
373,159033510,1.0,0.561544,0.071556
374,331573663,1.0,0.561415,0.071685
375,43525228,1.0,0.561128,0.071972
376,382974340,1.0,0.560985,0.072115
377,34535373,1.0,0.560922,0.072178
378,105434864,1.0,0.560899,0.072201
379,34535382,1.0,0.560802,0.072298
380,31730726,1.0,0.560717,0.072383
381,66960639,1.0,0.560674,0.072426
382,272088740,1.0,0.560601,0.072499
383,339648597,1.0,0.560574,0.072526
384,20194762,1.0,0.560558,0.072542
385,99935915,1.0,0.560475,0.072625
386,191103777,1.0,0.560449,0.072651
387,96939140,1.0,0.560241,0.072859
388,114488187,1.0,0.560188,0.072912
389,96365231,1.0,0.560156,0.072944
390,67681829,1.0,0.559989,0.073111
391,58506173,1.0,0.559894,0.073206
392,245140933,1.0,0.55936,0.07374
393,339643095,1.0,0.559301,0.073799
394,84720559,1.0,0.55922,0.07388
395,73435969,1.0,0.559172,0.073928
396,45751341,1.0,0.559157,0.073943
397,174759163,1.0,0.558898,0.074202
398,163669681,1.0,0.558753,0.074347
399,71450526,1.0,0.558601,0.074499
400,115643001,1.0,0.558461,0.074639
401,309553229,1.0,0.558162,0.074938
402,97150081,1.0,0.558118,0.074982
403,226668567,1.0,0.558115,0.074985
404,331529364,1.0,0.557528,0.075572
405,216384921,1.0,0.557455,0.075645
406,216384900,1.0,0.557345,0.075755
407,245420039,1.0,0.557112,0.075988
408,71473944,1.0,0.556656,0.076444
409,158371767,1.0,0.555952,0.077148
410,289269312,1.0,0.555951,0.077149
411,378249009,1.0,0.555909,0.077191
412,12779611,1.0,0.555893,0.077207
413,209124207,1.0,0.555794,0.077305
414,58506757,1.0,0.555509,0.077591
415,158374239,1.0,0.555452,0.077648
416,149127368,1.0,0.555116,0.077984
417,84755739,1.0,0.555038,0.078062
418,163585669,1.0,0.55483,0.07827
419,272153905,1.0,0.554817,0.078283
420,22021840,1.0,0.55481,0.07829
421,28879339,1.0,0.554473,0.078627
422,71988771,1.0,0.553837,0.079263
423,339964831,1.0,0.553828,0.079272
424,162433829,1.0,0.55381,0.07929
425,58507725,1.0,0.55326,0.07984
426,100045540,1.0,0.553223,0.079877
427,339067839,1.0,0.55284,0.08026
428,71990565,1.0,0.552177,0.080923
429,339057921,1.0,0.55212,0.08098
430,355090375,1.0,0.551968,0.081132
431,355100392,1.0,0.551671,0.081429
432,210387347,1.0,0.551592,0.081508
433,355153710,1.0,0.551168,0.081932
434,39766837,1.0,0.551104,0.081996
435,340880597,1.0,0.550881,0.082219
436,159033526,1.0,0.550702,0.082398
437,236113168,1.0,0.550689,0.082411
438,29132572,1.0,0.550117,0.082983
439,244629890,1.0,0.550029,0.083071
440,158373311,1.0,0.549705,0.083395
441,363661976,1.0,0.549478,0.083622
442,84338743,1.0,0.548538,0.084562
443,150413127,1.0,0.548194,0.084906
444,119820263,1.0,0.548185,0.084915
445,150413125,1.0,0.548184,0.084916
446,94339214,1.0,0.547229,0.085871
447,73436861,1.0,0.547173,0.085927
448,353402588,1.0,0.546642,0.086458
449,209097606,1.0,0.546544,0.086556
450,70262121,1.0,0.546081,0.087019
451,93259603,1.0,0.54593,0.08717
452,97107057,1.0,0.545663,0.087437
453,84732666,1.0,0.545463,0.087637
454,28898351,1.0,0.54502,0.08808
455,163669687,1.0,0.544816,0.088284
456,190427652,1.0,0.54478,0.08832
457,312106094,1.0,0.544729,0.088371
458,378151922,1.0,0.544343,0.088757
459,85008941,1.0,0.54432,0.088779
460,164713969,1.0,0.543905,0.089195
461,11576040,1.0,0.5439,0.0892
462,158361339,1.0,0.543442,0.089658
463,12830061,1.0,0.543425,0.089675
464,234592035,1.0,0.543412,0.089688
465,72013556,1.0,0.543334,0.089766
466,67673076,1.0,0.543059,0.090041
467,226667624,1.0,0.542581,0.090519
468,226668053,1.0,0.542451,0.090649
469,159041217,1.0,0.541774,0.091325
470,284128608,1.0,0.541487,0.091613
471,158378337,1.0,0.540971,0.092129
472,12661353,1.0,0.540742,0.092358
473,310425451,1.0,0.54059,0.09251
474,105985420,1.0,0.540573,0.092527
475,279004203,1.0,0.540526,0.092574
476,12780031,1.0,0.540158,0.092942
477,107782882,1.0,0.540098,0.093002
478,312451640,1.0,0.540061,0.093039
479,107782289,1.0,0.539915,0.093185
480,288531893,1.0,0.539834,0.093266
481,94153016,1.0,0.539773,0.093327
482,346381308,1.0,0.538902,0.094198
483,372959851,1.0,0.538809,0.094291
484,100811714,1.0,0.538625,0.094475
485,91235255,1.0,0.53857,0.09453
486,69771242,1.0,0.538338,0.094762
487,210642699,1.0,0.538229,0.094871
488,363085602,1.0,0.538225,0.094875
489,288520776,1.0,0.538006,0.095094
490,73405613,1.0,0.53786,0.09524
491,94255570,1.0,0.537809,0.095291
492,210642506,1.0,0.537808,0.095292
493,38375016,1.0,0.536854,0.096246
494,339096342,1.0,0.536557,0.096543
495,372726143,1.0,0.536351,0.096749
496,286784427,1.0,0.535314,0.097786
497,94153275,1.0,0.534802,0.098298
498,86175653,1.0,0.534701,0.098399
499,105991496,1.0,0.534599,0.098501
500,288430422,1.0,0.534229,0.098871
501,73155019,1.0,0.534068,0.099032
502,331993953,1.0,0.533877,0.099223
503,31319568,1.0,0.533216,0.099884
504,245146107,1.0,0.533121,0.099979
505,54912139,1.0,0.533119,0.099981
506,85002366,1.0,0.532276,0.100824
507,339553166,1.0,0.531955,0.101145
508,115109562,1.0,0.531581,0.101519
509,86761325,1.0,0.531325,0.101775
510,175046910,1.0,0.530916,0.102184
511,67665312,1.0,0.530519,0.102581
512,98728644,1.0,0.530435,0.102665
513,265806097,1.0,0.529819,0.103281
514,272419458,1.0,0.52963,0.10347
515,72341278,1.0,0.529431,0.103669
516,116189189,1.0,0.529296,0.103804
517,99201139,1.0,0.529202,0.103898
518,151206980,1.0,0.52894,0.10416
519,196122645,1.0,0.528801,0.104299
520,67665318,1.0,0.52854,0.10456
521,209823054,1.0,0.52853,0.10457
522,69653120,1.0,0.528366,0.104734
523,245146113,1.0,0.528091,0.105009
524,313900565,1.0,0.527889,0.105211
525,44066252,1.0,0.527598,0.105502
526,71770132,1.0,0.527527,0.105573
527,72338353,1.0,0.527352,0.105748
528,99182155,1.0,0.526558,0.106542
529,390498112,1.0,0.525973,0.107127
530,11568832,1.0,0.525906,0.107194
531,299042861,1.0,0.525844,0.107256
532,11569447,1.0,0.525611,0.107489
533,386078876,1.0,0.525316,0.107784
534,85002435,1.0,0.524908,0.108192
535,24141114,1.0,0.524841,0.108259
536,190005883,1.0,0.524582,0.108518
537,12999576,1.0,0.524487,0.108613
538,349622760,1.0,0.524182,0.108918
539,248481190,1.0,0.523974,0.109126
540,71988438,1.0,0.523953,0.109147
541,219565930,1.0,0.523598,0.109502
542,390498171,1.0,0.523086,0.110013
543,69769550,1.0,0.522486,0.110614
544,99222002,1.0,0.522432,0.110667
545,97021355,1.0,0.522273,0.110827
546,85002444,1.0,0.522108,0.110992
547,98079142,1.0,0.521718,0.111382
548,13252285,1.0,0.521669,0.111431
549,218091573,1.0,0.52144,0.11166
550,289270308,1.0,0.52142,0.11168
551,390573120,1.0,0.521419,0.111681
552,390571908,1.0,0.521418,0.111682
553,390782103,1.0,0.521409,0.111691
554,390571615,1.0,0.52123,0.11187
555,272977666,1.0,0.52061,0.11249
556,250336940,1.0,0.520606,0.112494
557,94255934,1.0,0.519925,0.113175
558,296760972,1.0,0.519645,0.113455
559,24269083,1.0,0.519193,0.113906
560,158373296,1.0,0.518415,0.114685
561,107203756,1.0,0.517932,0.115168
562,269905671,1.0,0.517686,0.115414
563,189984406,1.0,0.517233,0.115867
564,175478525,1.0,0.51683,0.11627
565,355239156,1.0,0.516112,0.116988
566,11567489,1.0,0.515869,0.117231
567,175755631,1.0,0.51571,0.11739
568,11570439,1.0,0.515225,0.117875
569,73223960,1.0,0.51501,0.11809
570,94371544,1.0,0.51492,0.11818
571,296057714,1.0,0.513899,0.119201
572,355090408,1.0,0.513013,0.120087
573,72342800,1.0,0.512938,0.120162
574,97013836,1.0,0.512436,0.120664
575,69356870,1.0,0.511818,0.121282
576,86656021,1.0,0.511357,0.121743
577,72745983,1.0,0.511295,0.121805
578,93259563,1.0,0.511233,0.121867
579,189984660,1.0,0.511177,0.121923
580,86739423,1.0,0.510644,0.122456
581,54504625,1.0,0.509842,0.123258
582,24155910,1.0,0.509698,0.123402
583,139240114,1.0,0.509591,0.123509
584,248915737,1.0,0.509293,0.123807
585,382989917,1.0,0.509182,0.123918
586,73154970,1.0,0.508472,0.124628
587,43527419,1.0,0.507205,0.125895
588,312334552,1.0,0.506982,0.126118
589,310399847,1.0,0.506966,0.126134
590,94336308,1.0,0.506879,0.126221
591,16742787,1.0,0.506595,0.126505
592,71773389,1.0,0.505336,0.127764
593,159043651,1.0,0.504404,0.128696
594,97731146,1.0,0.504123,0.128977
595,67576439,1.0,0.503207,0.129893
596,67670706,1.0,0.50286,0.13024
597,94658603,1.0,0.502118,0.130982
598,96992804,1.0,0.50204,0.13106
599,158362959,1.0,0.501814,0.131286
600,97184396,1.0,0.501466,0.131634
601,105434883,1.0,0.501146,0.131954
602,372960183,1.0,0.501063,0.132037
603,91995426,1.0,0.500358,0.132742
604,96581586,1.0,0.50007,0.13303
605,86739424,1.0,0.499367,0.133733
606,139276539,1.0,0.498827,0.134273
607,339964537,1.0,0.498446,0.134654
608,157636225,1.0,0.497912,0.135188
609,94623588,1.0,0.496583,0.136517
610,96580204,1.0,0.496472,0.136628
611,191108039,1.0,0.49594,0.13716
612,309924066,1.0,0.495774,0.137326
613,219541996,1.0,0.495115,0.137985
614,99245141,1.0,0.49503,0.13807
615,71382701,1.0,0.49496,0.13814
616,86705550,1.0,0.494815,0.138285
617,372960062,1.0,0.494765,0.138335
618,106001186,1.0,0.494729,0.138371
619,246036358,1.0,0.494038,0.139062
620,12830021,1.0,0.493611,0.139489
621,72034735,1.0,0.493457,0.139643
622,94324993,1.0,0.492928,0.140172
623,73436475,1.0,0.492581,0.140519
624,355213280,1.0,0.492369,0.140731
625,96580297,1.0,0.49187,0.14123
626,102226108,1.0,0.491415,0.141685
627,94152708,1.0,0.491116,0.141984
628,11566029,1.0,0.490966,0.142134
629,12778573,1.0,0.490618,0.142482
630,158360779,1.0,0.490545,0.142555
631,16753577,1.0,0.49051,0.14259
632,159041022,1.0,0.490407,0.142693
633,228445982,1.0,0.490174,0.142926
634,1879066,1.0,0.489983,0.143117
635,205922828,1.0,0.489518,0.143582
636,286756215,1.0,0.489502,0.143598
637,71989154,1.0,0.489408,0.143692
638,355090509,1.0,0.488624,0.144476
639,78065983,1.0,0.488602,0.144498
640,58505809,1.0,0.488601,0.144499
641,159039422,1.0,0.488495,0.144605
642,103353710,1.0,0.487918,0.145182
643,355110272,1.0,0.485794,0.147306
644,106009303,1.0,0.485474,0.147626
645,190826195,1.0,0.4851,0.148
646,243780783,1.0,0.484333,0.148767
647,158378208,1.0,0.483883,0.149217
648,94336306,1.0,0.483399,0.149701
649,96564456,1.0,0.482327,0.150773
650,274526537,1.0,0.481817,0.151283
651,159028474,1.0,0.48168,0.15142
652,30233709,1.0,0.480879,0.152221
653,2315358,1.0,0.480867,0.152233
654,331507891,1.0,0.480602,0.152498
655,69410407,1.0,0.480324,0.152776
656,175756285,1.0,0.479972,0.153128
657,97066702,1.0,0.479831,0.153269
658,97387433,1.0,0.478652,0.154448
659,372812221,1.0,0.477987,0.155113
660,105985052,1.0,0.477868,0.155232
661,73220440,1.0,0.477666,0.155434
662,105984764,1.0,0.476342,0.156758
663,12777291,1.0,0.476242,0.156858
664,2393072,1.0,0.476028,0.157072
665,11177013,1.0,0.474594,0.158506
666,115726373,1.0,0.473551,0.159549
667,336714563,1.0,0.473539,0.159561
668,164649961,1.0,0.473102,0.159998
669,190009102,1.0,0.473068,0.160032
670,11575639,1.0,0.472853,0.160247
671,331505903,1.0,0.472118,0.160982
672,175757130,1.0,0.470332,0.162768
673,158366067,1.0,0.470308,0.162792
674,159033509,1.0,0.470275,0.162825
675,209802609,1.0,0.470222,0.162878
676,73223970,1.0,0.470176,0.162924
677,73319912,1.0,0.47006,0.16304
678,248481187,1.0,0.469861,0.163239
679,191108346,1.0,0.469579,0.163521
680,114770297,1.0,0.469322,0.163778
681,274698075,1.0,0.468534,0.164566
682,355102166,1.0,0.468039,0.165061
683,94150348,1.0,0.467485,0.165615
684,72295260,1.0,0.467097,0.166003
685,73219656,1.0,0.465575,0.167525
686,191108949,1.0,0.465481,0.167619
687,84755099,1.0,0.462798,0.170302
688,31168385,1.0,0.462355,0.170745
689,96929850,1.0,0.462181,0.170919
690,159033522,1.0,0.462062,0.171038
691,96928352,1.0,0.461944,0.171156
692,159032608,1.0,0.461734,0.171366
693,84460750,1.0,0.461417,0.171683
694,107730071,1.0,0.461267,0.171833
695,244630755,1.0,0.460289,0.172811
696,212659519,1.0,0.459727,0.173373
697,86738862,1.0,0.459408,0.173692
